电视频道,#genre#
CCTV5+,http://172.16.149.176:9090/live/1403_7500.m3u8?t=+F8AnoOZb920lWrgHHfacA==&u=17819838781&p=1&pid=&cid=300&l=4400&d=nnq07d6aqitk3s3t&sid=taBH%2BM0PQoCaqlbgt9Pe9Q%3D%3D&r=20260113213851&e=20260114013856&nc=FZtFzbHK3sEG&a=23&v=2&ptype=1&plocation=4400&puser=17819838781&ptoken=+F8AnoOZb920lWrgHHfacA==&ot=0&innersid=2878511523970557938&vhost=172.16.149.192:8060
广电频道,#genre#
翡翠台,http://192.168.1.202:18080/D_7690_43_4301
东莞新闻综合,http://192.168.1.202:18080/D_7690_22_2201
东莞生活资讯,http://192.168.1.202:18080/D_7690_22_2202
广东民生,http://192.168.1.202:18080/D_7690_20_2004
广东珠江,http://192.168.1.202:18080/D_7690_40_4001
广东体育,http://192.168.1.202:18080/D_7690_27_2703
CCTV-5体育,http://192.168.1.202:18080/D_7690_30_3003
CCTV-16奥林匹克,http://192.168.1.202:18080/D_7690_25_2504
CCTV-16奥林匹克（4K）,http://192.168.1.202:18080/D_7690_42_4201
CCTV-5+,http://192.168.1.202:18080/D_7690_24_2402
大湾区卫视,http://192.168.1.202:18080/D_7690_20_2001
广东影视,http://192.168.1.202:18080/D_7690_20_2002
广东新闻,http://192.168.1.202:18080/D_7690_9_907
澳视澳门,http://192.168.1.202:18080/D_7690_23_2303
东莞导视,http://192.168.1.202:18080/D_7690_23_2301
经济科教,http://192.168.1.202:18080/D_7690_23_2302
明珠台,http://192.168.1.202:18080/D_7690_43_4302
CCTV-1综合,http://192.168.1.202:18080/D_7690_24_2401
CCTV-2财经,http://192.168.1.202:18080/D_7690_35_3501
CCTV-3综艺,http://192.168.1.202:18080/D_7690_30_3002
CCTV-4国际,http://192.168.1.202:18080/D_7690_30_3004
CCTV-6电影,http://192.168.1.202:18080/D_7690_31_3101
CCTV-7国防军事,http://192.168.1.202:18080/D_7690_35_3502
CCTV-8电视剧,http://192.168.1.202:18080/D_7690_31_3102
CCTV-9纪录,http://192.168.1.202:18080/D_7690_35_3503
CCTV-10科教,http://192.168.1.202:18080/D_7690_36_3601
CCTV-11戏曲,http://192.168.1.202:18080/D_7690_27_2704
CCTV-12社会,http://192.168.1.202:18080/D_7690_36_3602
CCTV-13新闻,http://192.168.1.202:18080/D_7690_22_2203
CCTV-14少儿,http://192.168.1.202:18080/D_7690_36_3603
CCTV-17农业农村,http://192.168.1.202:18080/D_7690_36_3604
CCTV超高清,http://192.168.1.202:18080/D_7690_53_5301
广东卫视,http://192.168.1.202:18080/D_7690_24_2403
浙江卫视,http://192.168.1.202:18080/D_7690_26_2601
湖南卫视,http://192.168.1.202:18080/D_7690_26_2602
东方卫视,http://192.168.1.202:18080/D_7690_26_2604
东南卫视,http://192.168.1.202:18080/D_7690_25_2501
北京卫视,http://192.168.1.202:18080/D_7690_25_2502
江苏卫视,http://192.168.1.202:18080/D_7690_25_2503
深圳卫视,http://192.168.1.202:18080/D_7690_28_2801
河南卫视,http://192.168.1.202:18080/D_7690_26_2603
重庆卫视,http://192.168.1.202:18080/D_7690_27_2701
重温经典,http://192.168.1.202:18080/D_7690_27_2702
陕西卫视,http://192.168.1.202:18080/D_7690_28_2803
安徽卫视,http://192.168.1.202:18080/D_7690_28_2804
四川卫视,http://192.168.1.202:18080/D_7690_29_2903
吉林卫视,http://192.168.1.202:18080/D_7690_30_3001
贵州卫视,http://192.168.1.202:18080/D_7690_32_3204
辽宁卫视,http://192.168.1.202:18080/D_7690_33_3304
黑龙江卫视,http://192.168.1.202:18080/D_7690_34_3404
江西卫视,http://192.168.1.202:18080/D_7690_49_4902
河北卫视,http://192.168.1.202:18080/D_7690_40_4003
甘肃卫视,http://192.168.1.202:18080/D_7690_40_4004
东方卫视,http://192.168.1.202:18080/D_7690_5_501
纪实科教,http://192.168.1.202:18080/D_7690_35_3504
女性时尚,http://192.168.1.202:18080/D_7690_38_3804
广东少儿,http://192.168.1.202:18080/D_7690_20_2003
卡酷少儿,http://192.168.1.202:18080/D_7690_39_3902
东方财经（特色）,http://192.168.1.202:18080/D_7690_41_4101
金色学堂（特色）,http://192.168.1.202:18080/D_7690_41_4102
都市剧场（特色）,http://192.168.1.202:18080/D_7690_41_4103
央视文化精品,http://192.168.1.202:18080/D_7690_44_4401
央视电视指南,http://192.168.1.202:18080/D_7690_44_4402
CETV早期教育,http://192.168.1.202:18080/D_7690_44_4403
法治天地（特色）,http://192.168.1.202:18080/D_7690_45_4501
第一剧场（高清特色）,http://192.168.1.202:18080/D_7690_47_4701
风云剧场（高清特色）,http://192.168.1.202:18080/D_7690_47_4702
怀旧剧场（高清特色）,,http://192.168.1.202:18080/D_7690_47_4702
风云音乐（高清特色）,http://192.168.1.202:18080/D_7690_47_4704
风云足球（高清特色）,http://192.168.1.202:18080/D_7690_48_4802
高尔夫网球（高清特色）,http://192.168.1.202:18080/D_7690_48_4803
CETV-1（高清）,http://192.168.1.202:18080/D_7690_49_4901
澳亚卫视,http://192.168.1.202:18080/D_7690_8_805
东莞综合广播,http://192.168.1.202:18080/D_7690_23_2304
东莞交通广播,http://192.168.1.202:18080/D_7690_23_2305
东莞音乐广播,http://192.168.1.202:18080/D_7690_23_2306
港澳台最新,#genre#
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct2
翡翠备用1,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
翡翠备用2,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3&token=512df05ba47edb46400575c93e179adb7981226d414516400ed1d382cb126adc517715d4ccd3a2276bf3c7b72d52f58905225cf0b1cc461b7888443f
TVB娱乐新闻,http://php.jdshipin.com/TVOD/iptv.php?id=tvbylxw
TVB娱乐新闻2,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbylxw
TVB娱乐新闻3,http://php.jdshipin.com:8880/PLTV/iptv.php?id=tvbylxw
VIUTV,http://php.jdshipin.com:8880/TVOD/iptv.php?id=viutv
VIUTV备用,http://php.jdshipin.com:8880/TVOD/iptv.php?id=viutv2
VIUTV备用2,http://php.jdshipin.com/TVOD/iptv.php?id=viutv2
HOY TV,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hoytv
HOY TV.备用,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hoytv2
美亚电影,http://php.jdshipin.com/TVOD/iptv.php?id=meiya
美亚电影备用,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
tvb plus,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbp
tvb plus480P,http://php.jdshipin.com:8880/TVOD/iptv.php?id=j2
tvb plus720P,http://php.jdshipin.com/TVOD/iptv.php?id=j2
TVB J2,http://php.jdshipin.com:8880/PLTV/iptv.php?id=j2
tvb星河,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
TVB星河,http://php.jdshipin.com:8880/PLTV/iptv.php?id=xinghe
TVB星河,http://php.jdshipin.com/PLTV/iptv.php?id=xinghe
RTHK31,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk31
RTHK32,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk32
RTHK32备用,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk32
无线新闻台,http://php.jdshipin.com:8880/smt.php?id=inews_twn
无线新闻台(备用),http://php.jdshipin.com/TVOD/iptv.php?id=wxxwt
TVB无线新闻,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbxw
TVB无线新闻1,https://v2hcdn.jdshipin.com/news/news.stream/chunklist_w105.m3u8
TVB无线新闻2,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxw
华丽翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=huali2
无线华丽,http://php.jdshipin.com:8880/TVOD/iptv.php?id=huali
无线华丽,http://php.jdshipin.com:8880/smt.php?id=Wlt
无线华丽,http://php.jdshipin.com:8880/smt.php?id=Tvbjade
凤凰香港,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
凤凰中文,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
jdshipin源,#genre#
东莞生活资讯[1920*1080],http://php.jdshipin.com:8880/0769.php?id=shzx
东莞新闻综合[1920*1080],http://php.jdshipin.com:8880/0769.php?id=xwzh
1905国内电影,http://php.jdshipin.com:8880/1905.php?id=1905dy
1905国外电影,http://php.jdshipin.com:8880/1905.php?id=1905dy2
澳门莲花,http://php.jdshipin.com:8880/amlh.php
广东｜广州法治,http://php.jdshipin.com:8880/gztv.php?id=fazhi
广州南国都市,http://php.jdshipin.com:8880/gztv.php?id=shenghuo
广州新闻,http://php.jdshipin.com:8880/gztv.php?id=xinwen
广州影视,http://php.jdshipin.com:8880/gztv.php?id=yingshi
广州综合,http://php.jdshipin.com:8880/gztv.php?id=zhonghe
武术世界,http://php.jdshipin.com:8880/hntv.php?id=wspd
文物宝库,http://php.jdshipin.com:8880/hntv.php?id=wwbk
湖南都市,http://php.jdshipin.com:8880/iptv.php?id=hnds
湖南电视剧,http://php.jdshipin.com:8880/iptv.php?id=hndsj
湖南电影,http://php.jdshipin.com:8880/iptv.php?id=hndy
湖南爱晚,http://php.jdshipin.com:8880/iptv.php?id=hngg
湖南国际,http://php.jdshipin.com:8880/iptv.php?id=hngj
湖南经视,http://php.jdshipin.com:8880/iptv.php?id=hnjs
湖南娱乐,http://php.jdshipin.com:8880/iptv.php?id=hnyl
凤凰资讯,http://php.jdshipin.com:8880/jydx.php?id=36
凤凰中文,http://php.jdshipin.com:8880/jydx.php?id=37
凤凰香港,http://php.jdshipin.com:8880/jydx.php?id=38
TVB星河台,http://php.jdshipin.com:8880/PLTV/iptv.php?id=xinghe
凤凰香港,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn
无线新闻台,http://php.jdshipin.com:8880/smt.php?id=inews_twn
J2,http://php.jdshipin.com:8880/smt.php?id=j2_twn
TVB翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
美亚电影台,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
凤凰资讯,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
凤凰中文,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
RTHK31,http://php.jdshipin.com:8880/smt.php?id=rhk31_twn
RTHK32,http://php.jdshipin.com:8880/smt.php?id=rhk32_twn
TVBJade,http://php.jdshipin.com:8880/smt.php?id=Tvbjade
VIU TV,http://php.jdshipin.com:8880/smt.php?id=viu1_twn
华丽翡翠台,http://php.jdshipin.com:8880/smt.php?id=Wlt
TVB星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe
北京IPTV4K,http://php.jdshipin.com:8880/TVOD/iptv.php?id=bj4k
重温经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
峨眉电影,http://php.jdshipin.com:8880/TVOD/iptv.php?id=emdy
4K超高清电影.1080P,http://php.jdshipin.com:8880/TVOD/iptv.php?id=emdy4k
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct2
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4
凤凰香港,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk
凤凰卫视,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
广东4K超高清,http://php.jdshipin.com:8880/TVOD/iptv.php?id=gd4k
湖南都市.备用,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hnds
湖南电视剧.备用,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hndsj
湖南电影.备用,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hndy
湖南爱晚,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hngg
湖南国际.备用,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hngj
湖南经视.备用,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hnjs
湖南娱乐.备用,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hnyl
海峡卫视,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hxws
TVB Plus,http://php.jdshipin.com:8880/TVOD/iptv.php?id=j2
明珠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=mzt
RTHK31,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk31
RTHK32,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk32
深圳财经生活,http://php.jdshipin.com:8880/TVOD/iptv.php?id=szcjsh
陶瓷频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=taoci
TVB Plus,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbp
ViuTV,http://php.jdshipin.com:8880/TVOD/iptv.php?id=viutv
TVB星河台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
Now Lucky 688 欧洲杯,http://php.jdshipin.com:8880/xsj.php?id=now-lucky-688
Now Sports 618 欧洲杯,http://php.jdshipin.com:8880/xsj.php?id=now-sports-618
Now Sports 619 欧洲杯,http://php.jdshipin.com:8880/xsj.php?id=now-sports-619
西藏卫视,http://php.jdshipin.com:8880/xztv.php?id=ws
西藏影视文化,http://php.jdshipin.com:8880/xztv.php?id=ys
西藏藏语卫视,http://php.jdshipin.com:8880/xztv.php?id=zy
移动央视,#genre#
CCTV1,http://116.162.6.191/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225490/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV3,http://39.134.66.66/PLTV/88888888/224/3221225799/index.m3u8
CCTV4,http://39.134.66.66/PLTV/88888888/224/3221225797/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5,http://39.134.66.66/PLTV/88888888/224/3221225818/index.m3u8
CCTV5,http://113.101.119.52:808/hls/58/index.m3u8
CCTV5,http://39.134.67.108/PLTV/88888888/224/3221226027/index.m3u8
CCTV5,http://39.134.67.108/PLTV/88888888/224/3221225818/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://39.134.66.66/PLTV/88888888/224/3221225814/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://39.134.66.66/PLTV/88888888/224/3221225795/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://39.134.66.66/PLTV/88888888/224/3221225812/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV-17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CGTN,https://pi.0472.org/tv/fct.php?auth=2310201855
CGTN,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225604/index.m3u8
CGTN-DOCUMENTRAY,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225602/index.m3u8
AKTV,#genre#
28 AI 智慧賽馬,http://aktv.top/AKTV/live/aktv/28ai/AKTV.m3u8
Channel 5 HD,http://aktv.top/AKTV/live/aktv/channel5hd/AKTV.m3u8
Channel 8 HD,http://aktv.top/AKTV/live/aktv/channel8hd/AKTV.m3u8
Channel U HD,http://aktv.top/AKTV/live/aktv/channeluhd/AKTV.m3u8
myTV SUPER 18台,http://aktv.top/AKTV/live/aktv/mytvsuper18/AKTV.m3u8
PopC,http://aktv.top/AKTV/live/aktv/popc/AKTV.m3u8
ROCK Action,http://aktv.top/AKTV/live/aktv/rockaction/AKTV.m3u8
TVB Plus,http://aktv.top/AKTV/live/aktv/tvbplus/AKTV.m3u8
TVBS,http://aktv.top/AKTV/live/aktv/tvbs/AKTV.m3u8
TVBS-新聞台,http://aktv.top/AKTV/live/aktv/tvbs-1/AKTV.m3u8
tvN,http://aktv.top/AKTV/live/aktv/tvn/AKTV.m3u8
中天亞洲台,http://aktv.top/AKTV/live/aktv/null-12/AKTV.m3u8
中天新聞台,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8
中視,http://aktv.top/AKTV/live/aktv/null-10/AKTV.m3u8
千禧經典台(HK),http://aktv.top/AKTV/live/aktv/null-15/AKTV.m3u8
娛樂新聞台(HK),http://aktv.top/AKTV/live/aktv/hk/AKTV.m3u8
寰宇新聞台,http://aktv.top/AKTV/live/aktv/null-9/AKTV.m3u8
日本全天新聞,http://aktv.top/AKTV/live/aktv/null-13/AKTV.m3u8
明珠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-19/AKTV.m3u8
明珠台,http://aktv.top/AKTV/live/aktv/null-2/AKTV.m3u8
無線新聞台,http://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8
美亞電影台(HK),http://aktv.top/AKTV/live/aktv/hk-1/AKTV.m3u8
翡翠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-18/AKTV.m3u8
翡翠台,http://aktv.top/AKTV/live/aktv/null/AKTV.m3u8
翡翠综合台(北美),http://aktv.top/AKTV/live/aktv/null-17/AKTV.m3u8
華視,http://aktv.top/AKTV/live/aktv/null-11/AKTV.m3u8
靖天電影台,http://aktv.top/AKTV/live/aktv/null-6/AKTV.m3u8
鳳凰中文,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8
鳳凰資訊,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8
鳳凰香港,http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8
黃金翡翠台,http://aktv.top/AKTV/live/aktv/null-21/AKTV.m3u8
龍華日韓台,http://aktv.top/AKTV/live/aktv/null-22/AKTV.m3u8
龍華經典台,http://aktv.top/AKTV/live/aktv/null-7/AKTV.m3u8
龍華電影台,http://aktv.top/AKTV/live/aktv/null-23/AKTV.m3u8
AXN,http://aktv.top/AKTV/live/aktv2/axn/AKTV.m3u8
i-Fun 動漫台,http://aktv.top/AKTV/live/aktv2/ifun/AKTV.m3u8
Love Nature HD,http://aktv.top/AKTV/live/aktv2/lovenaturehd/AKTV.m3u8
Now星影台,http://aktv.top/AKTV/live/aktv2/now/AKTV.m3u8
Now爆谷台,http://aktv.top/AKTV/live/aktv2/now-1/AKTV.m3u8
viutv 99,http://aktv.top/AKTV/live/aktv2/viutv99/AKTV.m3u8
viutv6 96,http://aktv.top/AKTV/live/aktv2/viutv696/AKTV.m3u8
ZooMoo,http://aktv.top/AKTV/live/aktv2/zoomoo/AKTV.m3u8
无线新闻台(北美),http://aktv.top/AKTV/live/aktv2/null-1/AKTV.m3u8
東森新聞,http://aktv.top/AKTV/live/aktv2/null/AKTV.m3u8
Animax(HK),http://aktv.top/AKTV/live/aktv3/animaxhk/AKTV.m3u8
DW,http://aktv.top/AKTV/live/aktv3/dw/AKTV.m3u8
France 24,http://aktv.top/AKTV/live/aktv3/france24/AKTV.m3u8
KIX,http://aktv.top/AKTV/live/aktv3/kix/AKTV.m3u8
Love Nature HD,http://aktv.top/AKTV/live/aktv3/lovenaturehd/AKTV.m3u8
NHK World-Japan,http://aktv.top/AKTV/live/aktv3/nhkworldjapan/AKTV.m3u8
NHK東京総合,http://aktv.top/AKTV/live/aktv3/nhk/AKTV.m3u8
Nick Jr,http://aktv.top/AKTV/live/aktv3/nickjr/AKTV.m3u8
Nickelodeon,http://aktv.top/AKTV/live/aktv3/nickelodeon/AKTV.m3u8
Thrill,http://aktv.top/AKTV/live/aktv3/thrill/AKTV.m3u8
ZooMoo,http://aktv.top/AKTV/live/aktv3/zoomoo/AKTV.m3u8
亞洲新聞台,http://aktv.top/AKTV/live/aktv3/null-3/AKTV.m3u8
東方衛視國際頻道,http://aktv.top/AKTV/live/aktv3/null/AKTV.m3u8
無線衛星新聞台,http://aktv.top/AKTV/live/aktv3/null-2/AKTV.m3u8
翡翠台4K,http://aktv.top/AKTV/live/aktv3/4k/AKTV.m3u8
港澳台,#genre#
翡翠台,http://172.16.149.176:9090/live/1350_4500.m3u8?t=A5ZjU2OThiNjAxMzExMTBkN==&u=freeuser&p=1&pid=&cid=1332&d=b60131110d72d53&sid=qM76HwHmvzjbzuVH+7a9UQ==&r=20230204125046&e=20230204185051&nc=OOlclCvR2tFj&a=7&v=2&isSuma=1&hlsSessionID=7824443072380439746&srchost=172.16.149.181:8060
翡翠台,http://www.namewee.xyz/gudou.php?id=364&id=1350_4500
翡翠台,http://198.16.100.90:8278/jade_twn/playlist.m3u8?tid=ME6E1330319113303191&ct=19225&tsum=d76985c4965fd63807e131035f66af09
ViuTv,http://ali.hlspull.yximgs.com/live/huanqiuhklivefhtjjnjjdldjlujobnmjjhnbbmdjlpthjyjvjutv.flv
ViuTv,http://198.16.100.90:8278/viu1_twn/playlist.m3u8?tid=MF9F2344917423449174&ct=19254&tsum=3cb061ac749a32280d3b88c022a1403f
